town_id,town,elec,gas,cable,elec_2005,gas_2005,cable_2005
169,MARION,NSTAR,NSTAR,Comcast; Verizon,NSTAR,NSTAR,Comcast
170,MARLBOROUGH,National Grid,NSTAR,Comcast; RCN; Verizon,National Grid,KeySpan; NSTAR,Comcast
171,MARSHFIELD,NSTAR,Bay State,Comcast; Verizon,NSTAR,Bay State; KeySpan,Adelphia
172,MASHPEE,NSTAR,National Grid,Comcast,NSTAR,KeySpan,Comcast
173,MATTAPOISETT,NSTAR,NSTAR,Comcast; Verizon,NSTAR,NSTAR,Comcast
174,MAYNARD,NSTAR,NSTAR,Comcast,NSTAR,KeySpan; NSTAR,Comcast
175,MEDFIELD,NSTAR,Bay State,Comcast; Verizon,NSTAR,Bay State; KeySpan,Comcast
176,MEDFORD,NSTAR,National Grid,Comcast; RCN,National Grid,KeySpan,Comcast
177,MEDWAY,NSTAR,Bay State,Comcast; Verizon,NSTAR,Bay State; KeySpan,Comcast
178,MELROSE,National Grid,National Grid,Comcast; Verizon,National Grid,KeySpan,Comcast
179,MENDON,National Grid,Bay State; NSTAR,Comcast,National Grid,Bay State; NSTAR,Comcast
180,MERRIMAC,Municipal,National Grid,Comcast,Municipal,KeySpan,Adelphia
181,METHUEN,National Grid,Bay State,Comcast; Verizon,National Grid,Bay State; KeySpan,Comcast
182,MIDDLEBOROUGH,Municipal,Municipal,Comcast; Verizon,NSTAR,Municipal,Comcast
183,MIDDLEFIELD,WMECO,None,None,WMECO,None,None
184,MIDDLETON,Municipal,National Grid,Comcast; RCN,Municipal,KeySpan,Comcast
185,MILFORD,National Grid,NSTAR,Comcast,National Grid,NSTAR,Comcast
186,MILLBURY,National Grid,NSTAR,Charter,National Grid,NSTAR,Charter
187,MILLIS,NSTAR,Bay State,Comcast,NSTAR,Bay State; KeySpan,Comcast
188,MILLVILLE,National Grid,NSTAR,Charter,National Grid,None,Charter
189,MILTON,NSTAR,National Grid,Comcast; RCN,NSTAR,KeySpan,Comcast
190,MONROE,National Grid,None,None,National Grid,None,None
191,MONSON,National Grid,Bay State,Comcast,National Grid,Bay State,Comcast
